meanWidth,meanHeight,meanLength,meanVolume,countStacking,countTurnover,boxesCount,loadingWidth,loadingHeight,loadingLength,density_percent
1217.0,1969.0,1930.0,4503215400.0,1,0,10,2480.0,2860.0,13600.0,85.31912
737.5,1512.5,1387.5,1537875000.0,0,8,8,2210.0,1960.0,4850.0,91.54018
744.4444444444445,1500.0,1366.6666666666667,1516333333.3333333,0,7,9,2300.0,2450.0,8000.0,30.90353
744.4444444444445,1500.0,1366.6666666666667,1516333333.3333333,0,6,9,2300.0,2450.0,8000.0,30.90353
668.75,1221.25,1625.0,1303912500.0,0,12,16,2300.0,2450.0,8000.0,47.24321
700.0,1289.3333333333333,1466.6666666666667,1380173333.3333333,0,12,15,2350.0,2450.0,8000.0,45.88342
517.7777777777778,454.44444444444446,2146.6666666666665,544648888.8888888,0,0,9,2480.0,2650.0,13600.0,35.04518
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,0,73,800.0,1800.0,1200.0,74.73759
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,73,73,800.0,1800.0,1200.0,67.08558
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,73,73,800.0,1800.0,1200.0,66.73617
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,0,73,800.0,1800.0,1200.0,64.10234
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,0,82,800.0,1800.0,1200.0,65.30465
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,82,82,800.0,1800.0,1200.0,69.58499
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,82,82,800.0,1800.0,1200.0,64.36031
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,82,82,800.0,1800.0,1200.0,65.60081
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,82,82,800.0,1800.0,1200.0,68.03047
1922.0,1207.0,220.0,523496340.0,100,50,100,2352.0,2698.0,12032.0,84.17817
1922.0,1207.0,220.0,523496340.0,100,0,100,2352.0,2698.0,12032.0,84.17817
210.0,1150.0,1920.0,463680000.0,3,3,3,800.0,2000.0,1200.0,100.0
235.11864406779662,202.10169491525423,356.66101694915255,19064436.01694915,59,0,59,800.0,1800.0,1200.0,70.58244
716.0,604.0,2041.3333333333333,2536341666.6666665,0,0,15,2480.0,2650.0,13600.0,70.49989
235.11864406779662,202.10169491525423,356.66101694915255,19064436.01694915,59,0,59,800.0,1800.0,1200.0,72.2806
716.0,604.0,2041.3333333333333,2536341666.6666665,0,0,15,2480.0,2650.0,13600.0,70.49989
300.0,750.0,750.0,229500000.0,240,120,240,2480.0,2860.0,13600.0,70.83333
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,0,73,800.0,1800.0,1200.0,64.10234
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,0,73,800.0,1800.0,1200.0,74.73759
2985.0,2135.0,6765.0,60796536500.0,0,0,2,3800.0,4500.0,13600.0,87.04632
1450.0,960.0,2800.0,3897600000.0,4,4,4,2352.0,2393.0,12032.0,100.0
1887.5,1750.0,3775.0,15389937500.0,0,0,4,2480.0,2650.0,13600.0,91.72142
272.72727272727275,267.27272727272725,359.09090909090907,28636363.636363637,66,0,66,800.0,2000.0,1200.0,99.43182
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1010.0,2330.0,1300.0,80.55179
339.4736842105263,415.7894736842105,660.5263157894736,132444684.21052632,19,19,19,1010.0,2330.0,1300.0,82.25598
334.11764705882354,408.8235294117647,633.5294117647059,123765647.05882353,17,17,17,1000.0,2330.0,1300.0,73.18317
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,78.05612
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,78.05612
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1060.0,2330.0,1360.0,85.90096
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1000.0,2300.0,1300.0,82.7784
342.77777777777777,417.77777777777777,670.0,136906277.7777778,18,18,18,1010.0,2330.0,1300.0,80.55179
339.4736842105263,415.7894736842105,660.5263157894736,132444684.21052632,19,19,19,1010.0,2330.0,1300.0,82.25598
312.85714285714283,344.85714285714283,494.85714285714283,53357600.0,35,35,35,800.0,2500.0,1200.0,82.78877
424.2857142857143,410.0,618.5714285714286,146671714.2857143,14,14,14,800.0,2500.0,1200.0,85.90211
460.0,426.0,834.0,221116400.0,10,10,10,800.0,2500.0,1200.0,92.87483
600.0,600.0,800.0,288000000.0,10,10,10,2210.0,1960.0,4850.0,83.33333
1034.375,2119.375,2005.0,4253040375.0,1,0,16,2480.0,2860.0,13600.0,89.19587
1060.625,2119.375,1956.25,4236509625.0,1,0,16,2480.0,2860.0,13600.0,88.84919
240.0,100.0,310.0,7440000.0,88,0,88,800.0,950.0,1200.0,86.35644
237.06849315068493,196.72602739726028,322.8082191780822,15165383.698630137,73,0,73,800.0,1800.0,1200.0,74.73759
239.44,223.2,346.3,21187375.82,50,0,50,800.0,1800.0,1200.0,68.07583
1040.7142857142858,2365.0,2064.285714285714,5093725285.714286,1,0,14,2480.0,2860.0,13600.0,93.47357
208.78048780487805,200.1219512195122,325.0731707317073,13547688.207317073,82,0,82,800.0,1800.0,1200.0,69.12774
1040.7142857142858,2365.0,2064.285714285714,5093725285.714286,0,0,14,2480.0,2860.0,13600.0,93.47357
